collocate,raw_frequency,MI
 walked,1,8.298459643424632
 couples,2,12.095025672943942
 broke,1,8.96790471167779
 apart,1,9.845899158474664
 different,1,8.723017298892097
 life,2,6.894789445050831
 halls,2,12.122805237051018
 marching,1,11.480210335653904
 step,1,8.920975279455806
 leaders,1,11.69413723186319
 g,1,12.242350387700801
 god,1,8.095443495387846
 save,3,8.681574904476022
 king,1,8.638320147572
 tuscany,1,13.820535756630797
 cab,1,10.057548330363138
 pick,1,10.474688470051806
 way,1,6.808074021995298
 slender,4,10.987322412574581
 pale,1,8.71086761672797
 returning,1,9.97860512802302
 sp,1,15.692337933532388
 endeavouring,1,11.95466831524902
 kiss,1,9.421349501674088
 succeeded,1,10.017297927741842
 scene,1,9.144835419836868
 ensued,1,11.780314928104243
 appeal,1,10.245600561866079
 lucy,1,9.178366257884578
 contralto,1,14.188260536756115
 pointed,1,9.588661395817478
 girls,1,8.893282071473593
 each,1,7.809268582226635
 box,1,9.518551829630452
 m,1,9.633214737950592
 days,6,7.795785231889348
 spends,3,12.859124589476172
 half,1,7.84457539605878
 grave,3,9.036897583164741
 millionaire,1,11.44384269148303
 henry,1,9.106166278677714
 savott,8,10.880153578159971
 enquire,6,13.166609289224134
 convenient,1,10.956139485137893
 asleep,1,9.565468749418203
 now,1,6.1513278413049886
 instead,4,9.021571612686515
 pursuing,2,11.422640483832426
 messages,1,11.942833857602018
 take,1,7.152894133181332
 everything,3,8.244295320634642
 granted,4,10.675058096717464
 how,1,6.653913445636279
 counter,2,10.772357007704263
 clerk,1,10.158948444804869
 page,1,10.17488503706768
 called,1,7.833697277911598
 hurryin,1,16.385485114092333
 tore,1,10.790773734490495
 please,1,8.68022263922601
 does,2,7.968112257958308
 tel,4,13.820535756630797
 bedroom,1,9.792440579949897
 locked,2,10.103218367196327
 next,1,7.905163397452001
 waiter,2,10.681702639436132
 slip,2,10.389033025473314
 read,1,8.121121784360666
 orcham,1,10.828657052392796
 sorry,5,8.914122025905236
 near,1,8.114192461112923
 ballroom,2,11.84219033182233
 tact,1,11.215001119054183
 cass,1,11.66698624279724
 fro,5,10.328701100863709
 hard,1,8.162126214613075
 weybridge,1,14.593725644864278
 architect,1,12.165977408916227
 principal,1,10.768714016425763
 partner,1,10.614043990962317
 hadn,1,9.7640794623282
 ordinary,2,9.689686197033842
 gumption,1,14.082900021098288
 evidently,1,9.451087904163776
 adventuress,1,13.987589841293964
 sense,1,8.215582466733188
 teach,1,10.215874381600878
 sent,1,8.463224055739087
 daddy,1,11.355047192699898
 gracie,1,10.075566835865818
 b,5,11.401878492383997
 positions,3,11.991035959419895
 duel,1,11.348532511678705
 suggest,1,10.6456922019131
 appointment,1,10.747130444758588
 oh,1,8.207407650242727
 tall,1,9.060336156136758
 fellow,1,8.33382555725038
 earns,1,13.612896391852553
 fifty,1,9.611261227734719
 pounds,1,9.200098098511917
 week,1,8.793118985572537
 si,2,12.274611249919023
 drawer,1,11.028898839420322
